DOID	MeSH
DOID:0001816	D006394
DOID:0014667	D008659
DOID:0040091	D000081012
DOID:0050052	D012373
DOID:0050061	D004887
DOID:0050072	C000656784
DOID:0050083	C536166
DOID:0050096	C000656825
DOID:0050118	D004670
DOID:0050120	D051359
DOID:0050133	D010854
DOID:0050138	D004604
DOID:0050144	D007619
DOID:0050147	D059249
DOID:0050152	D011015
DOID:0050156	D054990
DOID:0050157	D018549
DOID:0050158	C562470
DOID:0050159	C562489
DOID:0050160	C571912
DOID:0050175	D004675
DOID:0050185	D004892
DOID:0050192	D045464
DOID:0050202	C000723471
DOID:0050214	D015624
DOID:0050256	C536369
DOID:0050266	D058285
DOID:0050269	D014247
DOID:0050289	D060585
DOID:0050290	D060586
DOID:0050304	D000839
DOID:0050328	D003409
DOID:0050335	C564243
DOID:0050336	D017674
DOID:0050419	C572568
DOID:0050424	D011125
DOID:0050425	D012148
DOID:0050426	D013262
DOID:0050427	D014983
DOID:0050428	C563422
DOID:0050429	D016506
DOID:0050430	D018813
DOID:0050431	D019571
DOID:0050432	D020817
DOID:0050433	D034062
DOID:0050434	D050030
DOID:0050436	D050336
DOID:0050437	D052120
DOID:0050438	D052159
DOID:0050439	D052245
DOID:0050440	D052496
DOID:0050441	D052517
DOID:0050444	D052919
DOID:0050445	D053098
DOID:0050448	D053529
DOID:0050449	D053549
DOID:0050450	D053579
DOID:0050451	D053840
DOID:0050452	D054078
DOID:0050453	D054082
DOID:0050454	D054091
DOID:0050456	D054312
DOID:0050457	D054331
DOID:0050458	D054429
DOID:0050459	D054559
DOID:0050460	D054877
DOID:0050461	D054880
DOID:0050463	D055036
DOID:0050464	D055577
DOID:0050465	D055653
DOID:0050466	D055947
DOID:0050467	D056266
DOID:0050468	D056684
DOID:0050469	D056685
DOID:0050470	D056731
DOID:0050471	D056733
DOID:0050472	D056734
DOID:0050473	D056769
DOID:0050475	D056846
DOID:0050476	D056889
DOID:0050477	D056929
DOID:0050485	C537582
DOID:0050486	D005076
DOID:0050495	D005077
DOID:0050523	D015459
DOID:0050524	C562772
DOID:0050529	C563948
DOID:0050530	D014897
DOID:0050534	C537743
DOID:0050544	C564683
DOID:0050547	C536911
DOID:0050548	D009477
DOID:0050560	D058494
DOID:0050561	D065768
DOID:0050562	D013036
DOID:0050563	C580334
DOID:0050571	C535747
DOID:0050573	C535306
DOID:0050576	C537580
DOID:0050577	C562966
DOID:0050581	D059327
DOID:0050587	D014256
DOID:0050589	D015212
DOID:0050591	D000848
DOID:0050597	D012554
DOID:0050597	D012555
DOID:0050600	C535334
DOID:0050604	C564334
DOID:0050605	C538178
DOID:0050619	D010255
DOID:0050630	C562664
DOID:0050631	C537047
