enhancer	target_Entrez
chr6:138229039-138231039	7128
chr6:138229040-138231040	7128
chr4:88923202-88924800	9429
chr4:89061202-89078800	9429
chr15:78292337-78292883	23205
chr7:982022-987232	11033
chr3:123036602-123074000	111
chr4:62860941-62862941	23284
chr4:62861251-62863251	23284
chr4:62860964-62862964	23284
chr4:100075402-100080200	852636
chr10:64445329-64445644	84890
chr22:40741514-40743514	158
chr4:74300817-74302817	174
chr10:51540002-51545000	653268
chr14:105191402-105218800	817206
chr14:105220202-105228800	817206
chr14:105267802-105272600	817206
chr14:105443532-105445533	817206
chr14:105232802-105261000	817206
chrX:55056617-55058617	212
chr9:104183202-104211400	229
chr1:21660551-21662029	249
chr20:10016002-10016600	63926
chr10:27388383-27390383	22852
chr9:22123402-22125200	100048912
chr9:22110602-22120000	100048912
chr20:62115827-62119284	55738
chr1:26437008-26439009	8289
chr1:26798602-26799000	8289
chr1:27092402-27102800	8289
chr1:27491202-27494000	8289
chr1:27719602-27726400	8289
chr6:156983421-156985422	57492
chr6:157035202-157045000	57492
chr6:157103602-157113000	57492
chr6:157141402-157155600	57492
chr6:157388974-157390975	57492
chr13:50944202-50945400	115761
chrX:1732783-1734783	438
chrX:1732892-1734892	438
chr1:928510-931954	83858
chr11:107879536-107881537	472
chr11:108209402-108213400	472
chr11:109962202-109963400	472
chr12:14407602-14416600	55729
chr14:75986202-76011400	10538
chr17:59453602-59460200	54828, 6909, 9496
chr2:60691402-60718400	53335
chr2:60719002-60776000	53335
chr15:54202002-54203000	596, 26108
chr15:54203002-54203600	596, 26108
chr3:187602695-187702695	604
chr3:187800876-187841876	604
chr3:187951516-187966329	604
chr3:187777802-187780400	604
chr3:187781802-187783600	604
chr3:187784002-187785200	604
chr3:187785402-187786600	604
chr3:187787202-187787400	604
chr3:187789602-187790200	604
chr3:187790202-187790800	604
chr3:187793202-187796600	604
chr3:187798802-187801400	604
chr3:187801802-187802000	604
chr3:187802002-187804000	604
chr3:187806802-187811600	604
chr3:187811602-187811800	604
chr3:187813202-187813600	604
chr3:187815202-187816400	604
chr3:187817602-187818600	604
chr12:26469002-26473600	79365
chr15:40379202-40400400	90427
chr20:7105289-7107289	650
chr14:54409602-54411000	396165
chr7:139691202-139698800	673
chr7:140845002-140846200	673
